8010239;Nauen, Bahnhof;52.61233500;12.88515600
8010241;Neubrandenburg, Bahnhof;53.56185200;13.26144100
8010246;Neuruppin, West Bhf;52.92659600;12.79444100
8010248;Neustadt (Dosse), Bahnhof;52.85312500;12.45012300
8010250;Neustrelitz, Hauptbahnhof;53.35930900;13.07459800
8010255;S Ostbahnhof (Berlin);52.51033100;13.43508600
8010268;Pasewalk, Bahnhof;53.51501000;13.98881100
8010269;Pasewalk Ost;53.50682000;14.02729000
8010279;Potsdam, Pirschheide Bhf;52.37390900;13.01083600
8010280;Potsdam, Charlottenhof Bhf;52.39276800;13.03568200
8010282;Prenzlau, Bahnhof;53.32161400;13.86655800
8010284;Priemerburg;53.79597900;12.22302200
8010285;Priestewitz, Bahnhof;51.25071400;13.50871600
8010287;Pritzwalk, Bahnhof;53.14631700;12.18388300
8010302;Roßlau, Bahnhof;51.88398300;12.23693800
8010304;Rostock, Hauptbahnhof;54.07829600;12.13098900
8010308;Ruhland, Bahnhof;51.45544900;13.86969700
8010322;Schwaan, Bahnhof;53.93927800;12.11772900
8010324;Schwerin, Hauptbahnhof;53.63526100;11.40752000
8010327;Senftenberg, Bahnhof;51.52679000;14.00397700
8010338;Stralsund, Hauptbahnhof;54.30875700;13.07768800
8010339;Strasburg, Bahnhof;53.51470700;13.74783400
8010348;Teterow;53.76843700;12.57796600
8010351;Torgau, Bahnhof;51.56277900;12.99140400
8010353;Luckau-Uckro, Bahnhof;51.85212700;13.60774000
8010357;Guben, Bahnhof;51.95765400;14.70703700
8010361;Waren (Müritz), Bahnhof;53.52145400;12.68078400
8010373;Werder (Havel), Bahnhof;52.39278600;12.92691400
8010376;Wiesenburg, Bahnhof;52.09887300;12.42962400
8010377;Potsdam, Park Sanssouci Bhf;52.39405200;13.01516500
8010378;Wilhelmshorst, Bahnhof;52.33154200;13.06738400
8010382;Wittenberge, Bahnhof;53.00237100;11.76320500
8010384;Wittstock (Dosse), Bahnhof;53.16100000;12.47852400
8010389;Wustermark, Bahnhof;52.55150100;12.93823200
8010392;Zinnowitz, Bahnhof;54.07556400;13.90335700
8010395;Zossen, Bahnhof;52.21885500;13.43858600
8010396;Züssow, Bahnhof;53.97388100;13.54819200
8010399;Fürstenberg (Havel), Bahnhof;53.18649700;13.13980500
8010403;S Charlottenburg Bhf (Berlin);52.50473200;13.30386200
8010404;S Spandau Bhf (Berlin);52.53479800;13.19747700
8010405;S Wannsee Bhf (Berlin);52.42169800;13.17892800
8010406;S+U Zoologischer Garten Bhf (Berlin);52.50692100;13.33270700
8011016;Altdöbern, Bahnhof;51.65256000;14.00934700
8011025;Altentreptow, Bahnhof;53.69205000;13.24274500
8011041;S Lichterfelde Ost Bhf (Berlin);52.42929400;13.32774900
8011044;Anklam, Bahnhof;53.85616800;13.70165400
8011048;Annaburg, Bhf;51.72867800;13.03275000
8011078;Bad Liebenwerda, Bahnhof;51.51840600;13.40270400
8011098;Bahnsdorf (OSL), Bahnhof;51.58172800;14.11230200
8011100;Baitz, Bahnhof;52.16394500;12.68381900
8011102;S+U Gesundbrunnen Bhf (Berlin);52.54863700;13.38837200
8011108;Bannemin-Mölschow, Bahnhof;54.07144600;13.83654000
8011109;Bansin, Bahnhof Seebad;53.96411700;14.13099300
8011113;S Südkreuz Bhf (Berlin);52.47546800;13.36557900
8011116;Baruth, Bahnhof;52.05845400;13.51167600
8011118;S+U Potsdamer Platz Bhf (Berlin);52.50935800;13.37654700
8011125;Beetz-Sommerfeld, Bahnhof;52.80437800;13.02157600
8011131;Beilrode, Bahnhof;51.57101500;13.06492800
8011154;Berkenbrück (LOS), Bahnhof;52.35718500;14.16522600
8011155;S+U Alexanderplatz Bhf (Berlin);52.52151200;13.41126700
8011160;S+U Berlin Hauptbahnhof;52.52560500;13.36907500
8011167;S+U Jungfernheide Bhf (Berlin);52.53043100;13.30013500
8011173;Bestensee, Bahnhof;52.24228300;13.63453600
8011179;Beutersitz, Bahnhof;51.59009600;13.36062700
8011188;Biesenthal, Bahnhof;52.75553400;13.67475800
8011201;Flughafen BER - Terminal 1-2;52.36448100;13.50976900
8011210;Blönsdorf, Bahnhof;51.95551400;12.89580600
8011213;Blumenhagen (bei Pasewalk), Bahnhof;53.52838500;13.87295800
8011214;Blumenthal, Bahnhof;53.07654900;12.33396200
8011215;Bobitz;53.80453400;11.36280000
8011225;Bölzke, Bahnhof;53.10741700;12.26950100
8011238;Borkheide, Bahnhof;52.23084400;12.85463000
8011250;Brand, Tropical Islands Bhf;52.02992200;13.72158200
8011269;Briesen (Mark), Bahnhof;52.34649500;14.28134200
8011271;Brück, Bahnhof;52.18709300;12.75837400
8011273;Brügge, Bahnhof;53.25673800;12.22904300
8011286;Buddenhagen;54.00156100;13.68228000
8011290;Bülzig, Bahnhof;51.89487200;12.75255300
8011293;Burg Stargard(Meckl), Bahnhof;53.49976200;13.30316500
8011294;Burg (bei Magdeburg), Bahnhof;52.27489200;11.84172600
8011306;S+U Friedrichstr. Bhf (Berlin);52.52052100;13.38645000
8011307;Cammin(Meckl), Bahnhof;53.43903800;13.29965000
8011308;Caputh-Geltow, Bahnhof;52.35034500;12.98444700
8011311;Casekow, Bahnhof;53.21343500;14.20784000
8011314;Chorin, Bahnhof;52.90355100;13.86972400
8011318;Cottbus, Sandow Bhf;51.75511800;14.35351300
8011319;Coschen, Bahnhof;52.02038700;14.71875100
8011320;Cossebaude, Bahnhof;51.08512500;13.63154600
8011322;Coswig (Anhalt), Bahnhof;51.88791200;12.45808000
8011334;Dabendorf, Bahnhof;52.23725500;13.43735500
8011340;Dahlewitz, Bahnhof;52.32665200;13.42050500
8011344;Dannenwalde (bei Gransee), Bahnhof;53.08139100;13.18073700
8011356;Demmin, Bahnhof;53.90118300;13.05406500
